cluster_id	size	frac	mean_dist	median_dist	p95_dist	max_dist	outlier_count	outlier_frac
0	52	0.052000	10.875286	10.607937	15.323586	15.955092	0	0.000000
1	27	0.027000	13.688749	13.225789	17.378056	18.407787	0	0.000000
2	31	0.031000	14.556184	14.373113	18.329257	19.961935	1	0.032258
3	42	0.042000	10.116250	9.691399	13.962621	17.931931	0	0.000000
4	33	0.033000	11.613102	11.438441	15.527831	17.391485	0	0.000000
5	9	0.009000	13.443865	13.589611	15.230809	15.370834	0	0.000000
6	29	0.029000	13.486234	13.474480	19.529116	20.243532	3	0.103448
7	28	0.028000	10.198736	10.099232	11.941479	13.170065	0	0.000000
8	26	0.026000	14.425718	13.451134	18.493074	19.255850	1	0.038462
9	37	0.037000	13.227229	13.044096	17.078011	19.277262	1	0.027027
10	54	0.054000	12.484063	12.197739	16.075958	17.451271	0	0.000000
11	29	0.029000	14.029058	13.940537	19.911166	20.329420	4	0.137931
12	31	0.031000	10.669246	10.545033	12.816771	13.360612	0	0.000000
13	3	0.003000	11.798489	11.547264	12.808695	12.948854	0	0.000000
14	138	0.138000	8.472838	8.076266	11.582978	16.193508	0	0.000000
15	6	0.006000	16.849937	17.067457	19.131821	19.188694	2	0.333333
16	22	0.022000	13.936756	13.816882	16.982540	17.098553	0	0.000000
17	8	0.008000	13.693476	13.052311	16.290988	16.786505	0	0.000000
18	16	0.016000	14.795914	15.021893	18.146733	19.352724	1	0.062500
19	112	0.112000	8.902377	8.550663	11.921124	15.660604	0	0.000000
20	71	0.071000	9.779984	9.154847	14.064471	19.223114	1	0.014085
21	4	0.004000	12.160723	12.558447	13.271648	13.310564	0	0.000000
22	17	0.017000	13.227509	12.925636	16.866395	18.270557	0	0.000000
23	18	0.018000	13.408389	13.377678	16.124572	19.241146	1	0.055556
24	1	0.001000	0.000000	0.000000	0.000000	0.000000	0	0.000000
25	55	0.055000	10.911063	10.716902	15.272460	15.842837	0	0.000000
26	20	0.020000	16.345715	16.695827	19.201898	20.219542	2	0.100000
27	9	0.009000	15.765157	15.826065	17.833219	18.050800	0	0.000000
28	53	0.053000	13.943725	13.558865	18.933492	24.042376	3	0.056604
29	6	0.006000	11.926945	12.025790	13.869533	14.347673	0	0.000000
30	4	0.004000	13.948182	13.513214	16.866324	17.410572	0	0.000000
31	9	0.009000	11.441240	10.837805	15.283842	16.493763	0	0.000000
